Cluster,Age,SibSp,Parch,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Survived
-1,0.17,0.63,0.73,0.5,0.5,0.37,0.24,0.39,0.41
0,-0.29,-0.55,-0.49,0.0,1.0,0.0,0.0,1.0,0.36
1,-0.44,-0.55,-0.49,1.0,0.0,0.0,0.0,1.0,0.43
2,0.65,-0.55,-0.49,0.0,1.0,1.0,0.0,0.0,0.65
3,-0.58,0.59,-0.49,1.0,0.0,1.0,0.0,0.0,0.0
4,-0.27,0.59,-0.49,1.0,0.0,0.0,1.0,0.0,0.4
5,-0.14,-0.55,-0.49,0.0,1.0,0.0,1.0,0.0,0.4
6,0.34,-0.55,-0.49,1.0,0.0,1.0,0.0,0.0,0.29
7,0.97,0.59,-0.49,1.0,0.0,1.0,0.0,0.0,0.75
8,-0.0,0.59,-0.49,0.0,1.0,0.0,1.0,0.0,0.4
9,-0.47,-0.55,-0.49,1.0,0.0,0.0,1.0,0.0,0.43
10,-1.91,0.59,0.74,1.0,0.0,0.0,0.0,1.0,0.25
11,1.53,0.59,0.74,0.0,1.0,1.0,0.0,0.0,0.25
