Cluster,Age,SibSp,Parch,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Survived
0,-0.5,-0.45,-0.49,0.0,1.0,0.02,0.0,0.98,0.35
1,0.87,0.53,0.42,0.89,0.11,0.58,0.26,0.16,0.38
2,0.52,-0.18,-0.35,0.0,1.0,1.0,0.0,0.0,0.48
3,-0.47,-0.17,1.98,0.72,0.28,0.17,0.5,0.33,0.53
4,-0.46,-0.33,-0.45,1.0,0.0,0.0,0.0,1.0,0.5
5,-0.83,4.15,1.36,0.3,0.7,0.1,0.0,0.9,0.67
6,0.47,-0.43,-0.43,0.05,0.95,0.0,0.0,1.0,0.35
7,-0.21,-0.16,-0.39,1.0,0.0,0.6,0.4,0.0,0.31
8,1.38,0.59,4.7,0.4,0.6,0.6,0.0,0.4,0.8
9,1.95,0.06,-0.16,0.43,0.57,0.77,0.2,0.03,0.48
10,-0.12,-0.23,-0.42,0.0,1.0,0.0,1.0,0.0,0.4
11,-1.53,0.64,0.91,0.52,0.48,0.04,0.17,0.78,0.25
