antecedents,consequents,support,confidence,lift
frozenset({'Age range_Sênior'}),frozenset({'Pclass_1'}),0.15963855421686746,0.6463414634146342,2.1896465903434543
frozenset({'Pclass_1'}),frozenset({'Parch range'}),0.2680722891566265,0.9081632653061225,1.0151858723287295
frozenset({'Pclass_2'}),frozenset({'Sex_male'}),0.17771084337349397,0.6704545454545454,1.0858093126385808
frozenset({'Pclass_2'}),frozenset({'Survived_0'}),0.1716867469879518,0.6477272727272727,1.0971706864564006
frozenset({'Age range_Jovem'}),frozenset({'Pclass_3'}),0.16566265060240964,0.6395348837209303,1.4542848040777319
frozenset({'Pclass_3'}),frozenset({'Sex_male'}),0.2891566265060241,0.6575342465753424,1.0648847310390912
frozenset({'Pclass_3'}),frozenset({'Survived_0'}),0.2710843373493976,0.6164383561643836,1.044171093094772
frozenset({'Age range_Adulto'}),frozenset({'Sex_male'}),0.1566265060240964,0.6419753086419753,1.0396868413128575
frozenset({'Age range_Adulto'}),frozenset({'Survived_0'}),0.1566265060240964,0.6419753086419753,1.0874275636180397
frozenset({'Age range_Adulto'}),frozenset({'Parch range'}),0.23493975903614459,0.9629629629629629,1.076443446813817
frozenset({'Age range_Meia-idade'}),frozenset({'Survived_0'}),0.1566265060240964,0.6265060240963856,1.0612244897959184
frozenset({'Age range_Sênior'}),frozenset({'Sex_male'}),0.1566265060240964,0.6341463414634146,1.027007733491969
frozenset({'Age range_Sênior'}),frozenset({'Survived_0'}),0.1566265060240964,0.6341463414634146,1.0741662518666002
frozenset({'Sex_female'}),frozenset({'Survived_1'}),0.37349397590361444,0.9763779527559056,2.383510884668828
frozenset({'Survived_1'}),frozenset({'Sex_female'}),0.37349397590361444,0.9117647058823529,2.383510884668828
frozenset({'Sex_male'}),frozenset({'Survived_0'}),0.5813253012048193,0.9414634146341463,1.5947237431557988
frozenset({'Survived_0'}),frozenset({'Sex_male'}),0.5813253012048193,0.9846938775510204,1.594723743155799
frozenset({'Sex_male'}),frozenset({'Parch range'}),0.572289156626506,0.926829268292683,1.0360515726369386
frozenset({'Parch range'}),frozenset({'Sex_male'}),0.572289156626506,0.6397306397306397,1.0360515726369384
frozenset({'Survived_0'}),frozenset({'Parch range'}),0.5542168674698795,0.9387755102040817,1.0494056208341922
frozenset({'Parch range'}),frozenset({'Survived_0'}),0.5542168674698795,0.6195286195286195,1.0494056208341922
"frozenset({'Age range_Sênior', 'Parch range'})",frozenset({'Pclass_1'}),0.14759036144578314,0.6712328767123288,2.2739726027397262
"frozenset({'Age range_Sênior', 'Pclass_1'})",frozenset({'Parch range'}),0.14759036144578314,0.9245283018867926,1.0334794485737884
"frozenset({'Sex_female', 'Pclass_1'})",frozenset({'Survived_1'}),0.14156626506024098,0.9791666666666667,2.3903186274509807
"frozenset({'Survived_1', 'Pclass_1'})",frozenset({'Sex_female'}),0.14156626506024098,0.9591836734693878,2.507472280250683
"frozenset({'Sex_female', 'Pclass_1'})",frozenset({'Parch range'}),0.12951807228915663,0.8958333333333334,1.0014029180695847
"frozenset({'Sex_male', 'Pclass_1'})",frozenset({'Survived_0'}),0.14457831325301204,0.9599999999999999,1.6261224489795916
"frozenset({'Survived_0', 'Pclass_1'})",frozenset({'Sex_male'}),0.14457831325301204,0.9795918367346939,1.586460925833748
"frozenset({'Sex_male', 'Pclass_1'})",frozenset({'Parch range'}),0.13855421686746988,0.9199999999999999,1.0284175084175082
"frozenset({'Survived_0', 'Pclass_1'})",frozenset({'Parch range'}),0.14156626506024098,0.9591836734693878,1.0722187865045008
"frozenset({'Sex_male', 'Pclass_2'})",frozenset({'Survived_0'}),0.1716867469879518,0.9661016949152543,1.6364579730197164
"frozenset({'Survived_0', 'Pclass_2'})",frozenset({'Sex_male'}),0.1716867469879518,1.0,1.619512195121951
frozenset({'Pclass_2'}),"frozenset({'Sex_male', 'Survived_0'})",0.1716867469879518,0.6477272727272727,1.1142251530852567
"frozenset({'Sex_male', 'Pclass_2'})",frozenset({'Parch range'}),0.1716867469879518,0.9661016949152543,1.0799520630029105
"frozenset({'Parch range', 'Pclass_2'})",frozenset({'Sex_male'}),0.1716867469879518,0.7307692307692307,1.1834896810506566
frozenset({'Pclass_2'}),"frozenset({'Sex_male', 'Parch range'})",0.1716867469879518,0.6477272727272727,1.1318181818181818
"frozenset({'Survived_0', 'Pclass_2'})",frozenset({'Parch range'}),0.1686746987951807,0.9824561403508771,1.098233799988186
"frozenset({'Parch range', 'Pclass_2'})",frozenset({'Survived_0'}),0.1686746987951807,0.7179487179487178,1.216117216117216
frozenset({'Pclass_2'}),"frozenset({'Survived_0', 'Parch range'})",0.1686746987951807,0.6363636363636362,1.1482213438735176
"frozenset({'Sex_male', 'Age range_Jovem'})",frozenset({'Pclass_3'}),0.10542168674698796,0.6862745098039217,1.5605694332527535
"frozenset({'Pclass_3', 'Age range_Jovem'})",frozenset({'Sex_male'}),0.10542168674698796,0.6363636363636364,1.0305986696230598
"frozenset({'Parch range', 'Age range_Jovem'})",frozenset({'Pclass_3'}),0.14156626506024098,0.6527777777777778,1.484398782343988
"frozenset({'Pclass_3', 'Age range_Adulto'})",frozenset({'Parch range'}),0.1355421686746988,0.9782608695652173,1.0935441370223977
"frozenset({'Pclass_3', 'Sex_female'})",frozenset({'Survived_1'}),0.14457831325301204,0.9599999999999999,2.3435294117647056
"frozenset({'Pclass_3', 'Survived_1'})",frozenset({'Sex_female'}),0.14457831325301204,0.8571428571428572,2.240719910011249
"frozenset({'Sex_male', 'Pclass_3'})",frozenset({'Survived_0'}),0.26506024096385544,0.9166666666666667,1.5527210884353742
"frozenset({'Pclass_3', 'Survived_0'})",frozenset({'Sex_male'}),0.26506024096385544,0.9777777777777779,1.5835230352303524
frozenset({'Pclass_3'}),"frozenset({'Sex_male', 'Survived_0'})",0.26506024096385544,0.6027397260273973,1.0368372489175954
"frozenset({'Sex_male', 'Pclass_3'})",frozenset({'Parch range'}),0.2620481927710843,0.90625,1.013047138047138
